;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;Period
Pakistan;;;;6,75;7,38;6,98;6,3;5,82;5,84;5,94;5,79;5,14;4,94;2023Q2
Saudi Arabia;12,23;12,01;12,65;13,54;13,68;13,9;14,8;15,42;15,19;14,43;14,43;13,82;13,68;2023Q2
United Arab Emirates;11,96;12,6;12,99;12,54;12,52;12,85;13,15;12,87;12,16;12,43;12,31;11,83;11,33;2023Q2
West Bank and Gaza;10,7;11,16;10,83;10,25;10,36;9,71;9,84;9,68;10,18;9,42;8,18;8,02;8,06;2022Q1
Sub-Saharan Africa;;;;;;;;;;;;;;
Botswana;;;7,06;8,38;9,11;8,52;8,44;8,77;8,92;8,91;9,19;8,63;8,93;2023Q3
Burundi;11,71;13,19;14,27;14,52;13,45;13,45;13,83;12,17;11,53;;;;;2018Q2
Cameroon;4,34;2,96;2,68;3,42;4,95;5,26;4,31;4,54;4,98;5,11;6,49;6,49;6,71;2023M7
Central African Rep.;10,38;13,15;14,13;19,09;19,16;18,06;16,09;17,69;15,08;15,92;13,82;13,85;14,03;2023M7
Chad;5,3;8,87;8,67;9,65;6,98;7,68;7,67;8,81;7,49;2,8;1,64;4,99;4;2022M12
Congo, Rep. of;4,87;3,99;4,25;5,19;5,66;9,06;10,63;12,2;11,83;13,47;10,12;10,87;11,23;2023M7
Equatorial Guinea, Rep. of;8,25;9,73;7,7;8,39;9,55;11,22;12,95;13,4;12,81;-0,71;-0,17;-1,32;1,15;2023M7
Eswatini, Kingdom of;12,35;12,23;12,55;11,95;12,61;12,91;12,98;13,45;13,11;4,49;11,72;17,53;12,57;2023Q1
Gabon;9,87;6,66;5,91;6,33;5,54;4,51;4,66;7,69;6,9;9,88;9,81;10,16;9,06;2023M7
Ghana;12,44;10,67;11,11;9,98;10,61;10,5;9,18;8,91;12,29;10,66;9,76;9,01;7,74;2023Q2
Guinea;;;;10,19;10,91;10,56;10,98;11,86;8,68;9,58;8,88;11,35;10,32;2022Q2
Kenya;11,67;11,6;11,35;12,24;12,68;12,36;12,91;11,66;13,18;12,76;12,26;12,07;11,96;2023Q2
Lesotho, Kingdom of;5,18;5,5;6,78;5,97;6,66;7,08;9,06;9,69;10,28;10,4;11,35;10,91;12,47;2023Q3
Madagascar, Rep. of;8,2;7,94;8,08;8,6;8,51;8,69;7,96;6,81;6,72;6,77;6,89;6,72;6,29;2023Q3
Malawi;;;;;;10,13;10,06;9,86;8,33;9,26;9,14;8,28;9;2023Q2
Mauritius;5,51;5,76;6,88;7,31;8,01;8,75;9,1;8,73;10,37;10,19;9,61;9,11;9;2023Q2
Namibia;8,34;7,79;7,99;8,52;8,87;9,22;9,32;9,52;10,55;9,29;9,6;9,26;9,67;2023Q2
Nigeria;1,49;10,62;10,82;10,39;10,43;12,38;11,37;7,18;8,78;7,95;6,93;6,76;5,69;2023Q2
Rwanda;13,77;15,58;15,38;13,64;13,67;14,07;14,56;13,84;15,2;14,52;12,92;13,74;12,04;2023Q2
Seychelles;7;6,58;7,23;7,18;6,28;7,91;9,19;8,59;8,26;8,16;6,22;6,83;;2021M12
South Africa;6,78;6,84;7,44;7,56;7,17;7,12;7,65;8,19;7,91;8,01;7,61;8,09;6,3;2022Q3
Tanzania, United Rep. of;10,3;10,02;10,06;10,58;10,35;11,11;12,52;12,26;11,85;11,7;12,42;12,7;12,12;2023Q2
Uganda;11,26;12,76;12,61;12,19;12,89;13,04;11,69;13,81;13,9;13,67;13,37;14,66;14,8;2022M12
Zambia;8,99;8,92;10,98;13,48;13,75;11,16;12,09;11,65;11,16;11,09;8,48;10,26;10,13;2023Q3
Argentina;7,24;6,87;7,25;10,16;9,99;9,44;8,87;10,19;8,65;9,73;12,41;12,98;14,75;2023Q3
Barbados;;;;;;;10,29;10,5;8,23;7,64;10,35;10,37;11,23;2023M9
Brazil;10,3;10,08;10,15;10,15;9,46;7,69;8,39;8,78;9,11;9,55;8,66;8,77;8,76;2023Q1
Chile;7,84;7,74;7,94;7,91;7,77;7,37;8,25;8,29;8,19;7,34;6,64;6,65;7,34;2023M8
Colombia;9,79;10,23;10,46;8,96;8,93;8,7;8,73;9,19;9,3;8,99;9,75;12,22;10,74;2023M9
Costa Rica;8,41;8,39;8,35;8,09;8,08;7,89;7,66;7,86;7,92;8,27;8,05;7,43;9,69;2023M8
Dominican Rep.;8,97;9,46;9,52;9,12;9,08;9,06;9,1;9,44;9,61;10,43;;;;2019M6
Ecuador;12,43;12,04;11,94;12,31;12,25;13,04;11,87;11,66;11,78;11,91;11,96;11,61;11,24;2023M8
El Salvador;9,41;10,22;10,25;10,18;10,14;10,15;10,23;10,02;9,58;9,19;8,84;8,9;8,79;2023M11
Guatemala;6,73;6,6;6,63;6,92;6,94;6,86;7,05;6,97;7,08;6,94;6,48;6,6;6,42;2023M10
Honduras;;;;;;7,64;;7,42;7,26;6,99;6,99;6,47;6,22;2023M7
Mexico;9,64;8,89;9,35;8,96;9,37;8,66;8,38;9,07;9,13;9,8;9,73;10,85;9,79;2023M8
Panama;11,55;11,21;10,42;9,8;10,03;10,17;11,45;12,48;12,49;12,71;11,8;12,15;11,78;2023Q3
Paraguay;5,8;7,37;7,55;7,04;7,01;7,18;7,94;8,16;8,42;8,72;8,47;9,45;8,93;2023M9
Peru;7,75;8,32;8,62;8,65;9,16;8,61;9,48;9,84;10,45;10,92;9,12;9,36;10,34;2023Q2
Trinidad and Tobago;11,39;11,35;11,21;11,1;10,76;11,69;10,68;11,17;11,22;10,55;10,18;11,19;11,56;2023Q3
Uruguay;;;;;;7,35;8,57;9,16;10,29;10,42;9,66;8,87;9,58;2023Q2
